makespan: 69.0
机器	工件	工序	开始时间	加工时间	结束时间
1	10	1	0	13	13
1	5	1	13	14	27
1	6	3	27	6	33
1	3	1	33	5	38
1	7	3	38	13	51
1	5	3	51	8	59
1	4	2	59	10	69
2	7	1	0	18	18
2	6	2	18	6	24
2	7	2	24	6	30
2	2	2	30	16	46
2	10	4	46	17	63
3	6	1	1	14	15
3	1	2	16	15	31
3	9	1	31	10	41
3	3	2	41	10	51
3	2	3	51	16	67
4	2	1	0	13	13
4	4	1	13	6	19
4	5	2	27	20	47
4	8	1	47	14	61
4	5	4	61	8	69
5	10	2	13	10	23
5	10	3	23	16	39
5	9	2	41	19	60
5	8	2	61	7	68
6	1	1	0	16	16
6	6	4	33	18	51
6	7	4	55	14	69
