makespan: 75.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	2	1	0	11	11
1	6	2	15	6	21
1	8	3	21	20	41
1	7	2	41	5	46
1	9	3	46	12	58
1	6	4	58	14	72
2	8	1	0	5	5
2	2	2	11	20	31
2	4	2	31	10	41
2	5	4	41	20	61
2	9	5	67	7	74
3	5	1	0	10	10
3	8	2	10	7	17
3	1	1	17	11	28
3	7	1	28	11	39
3	3	2	39	11	50
4	6	1	0	15	15
4	5	2	15	8	23
4	9	1	23	10	33
4	1	2	33	5	38
4	2	3	38	10	48
4	7	3	48	11	59
4	5	5	61	13	74
5	4	1	0	10	10
5	10	2	13	8	21
5	5	3	23	10	33
5	9	2	33	12	45
5	1	3	45	13	58
5	9	4	58	9	67
5	10	4	67	8	75
6	10	1	0	13	13
6	3	1	13	15	28
6	6	3	28	20	48
6	8	4	48	11	59
6	10	3	59	7	66
6	7	4	66	7	73
