makespan: 88.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	8	1	0	9	9
1	5	2	9	10	19
1	10	2	19	13	32
1	9	3	32	12	44
1	6	4	44	6	50
1	4	3	50	7	57
1	1	2	57	20	77
1	2	5	77	9	86
2	5	1	0	9	9
2	6	2	15	18	33
2	6	3	33	10	43
2	3	2	44	9	53
2	3	3	54	9	63
2	2	4	64	10	74
2	6	5	74	11	85
3	6	1	0	15	15
3	3	1	15	17	32
3	10	3	32	19	51
3	2	2	51	5	56
3	7	2	56	14	70
3	8	4	71	17	88
4	4	1	0	20	20
4	8	2	20	12	32
4	4	2	32	17	49
4	2	3	56	8	64
4	9	5	66	15	81
5	9	1	0	18	18
5	9	2	18	7	25
5	5	3	25	19	44
5	1	1	51	5	56
5	9	4	56	9	65
5	3	4	65	15	80
5	7	3	80	8	88
6	10	1	0	18	18
6	2	1	18	17	35
6	7	1	35	19	54
6	8	3	54	17	71
6	4	4	71	14	85
