makespan: 67.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	3	1	0	8	8
1	3	2	9	7	16
1	7	2	16	13	29
1	9	3	29	20	49
1	1	2	49	6	55
1	2	5	55	12	67
2	10	1	0	7	7
2	10	2	7	7	14
2	2	2	15	13	28
2	10	4	29	11	40
2	4	2	40	11	51
2	8	5	55	5	60
2	5	2	60	5	65
3	9	1	0	11	11
3	6	1	11	14	25
3	3	3	25	6	31
3	3	4	31	12	43
3	8	4	43	7	50
3	7	3	50	16	66
4	8	1	0	16	16
4	9	2	16	11	27
4	6	2	27	18	45
4	2	4	49	6	55
4	6	3	55	6	61
5	7	1	0	11	11
5	8	2	16	10	26
5	8	3	26	6	32
5	1	1	32	15	47
5	10	5	47	19	66
6	2	1	0	9	9
6	4	1	9	5	14
6	10	3	14	15	29
6	2	3	29	20	49
6	3	5	50	5	55
6	5	1	55	5	60
6	4	3	60	6	66
