makespan: 69.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	8	1	0	6	6
1	5	2	10	5	15
1	1	1	15	16	31
1	10	1	31	11	42
1	9	3	45	6	51
1	5	4	51	8	59
1	7	5	60	8	68
2	3	1	1	5	6
2	4	1	6	11	17
2	2	2	20	6	26
2	9	2	26	19	45
2	4	4	45	6	51
2	1	3	54	8	62
2	2	5	62	7	69
3	2	1	0	20	20
3	3	3	25	10	35
3	1	2	35	19	54
3	6	2	54	5	59
3	5	5	59	10	69
4	9	1	0	16	16
4	7	2	16	11	27
4	7	3	27	9	36
4	7	4	36	15	51
4	2	4	51	11	62
4	8	3	62	7	69
5	7	1	0	10	10
5	8	2	10	10	20
5	4	2	20	5	25
5	2	3	26	20	46
5	10	2	46	15	61
6	5	1	0	10	10
6	3	2	10	15	25
6	4	3	25	6	31
6	6	1	31	9	40
6	3	4	40	6	46
6	5	3	46	5	51
6	9	4	51	18	69
