makespan: 92.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	1	1	0	11	11
1	9	1	11	20	31
1	2	3	31	20	51
1	10	2	51	8	59
1	8	4	59	20	79
1	2	5	79	5	84
2	2	1	0	11	11
2	3	1	11	11	22
2	3	2	22	7	29
2	6	1	29	17	46
2	5	2	46	6	52
2	1	4	52	5	57
2	4	4	57	9	66
2	6	3	70	20	90
3	4	1	0	11	11
3	2	2	11	9	20
3	1	2	20	11	31
3	1	3	31	16	47
3	3	3	47	7	54
3	3	4	54	15	69
3	9	4	69	12	81
4	8	1	0	16	16
4	7	2	16	12	28
4	8	3	28	12	40
4	7	3	40	9	49
4	2	4	51	19	70
4	10	3	70	17	87
5	5	1	0	18	18
5	8	2	18	7	25
5	4	2	25	19	44
5	4	3	44	10	54
5	9	3	54	13	67
5	1	5	67	8	75
5	9	5	81	10	91
6	7	1	0	16	16
6	10	1	16	20	36
6	9	2	36	17	53
6	6	2	53	16	69
6	7	4	69	10	79
6	8	5	79	13	92
