makespan: 85.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	10	1	0	10	10
1	3	1	10	20	30
1	3	2	30	14	44
1	6	4	44	7	51
1	2	3	51	7	58
1	7	4	58	7	65
1	9	5	65	20	85
2	4	1	0	10	10
2	9	2	10	18	28
2	1	2	28	18	46
2	1	3	46	10	56
2	4	3	56	6	62
2	3	3	62	6	68
2	5	2	68	11	79
3	1	1	1	13	14
3	7	1	14	18	32
3	7	2	32	8	40
3	9	4	41	20	61
3	5	1	61	6	67
3	10	3	67	9	76
3	2	5	76	9	85
4	9	1	0	7	7
4	8	3	17	5	22
4	8	4	26	14	40
4	2	2	41	10	51
4	4	4	62	10	72
4	5	3	79	5	84
5	8	1	0	5	5
5	6	2	6	20	26
5	6	3	26	10	36
5	9	3	36	5	41
5	7	3	42	16	58
5	2	4	58	8	66
5	1	5	66	16	82
6	6	1	0	5	5
6	8	2	5	12	17
6	4	2	17	8	25
6	2	1	25	16	41
6	10	2	41	12	53
6	1	4	56	10	66
6	7	5	66	14	80
