makespan: 77.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	2	1	0	13	13
1	7	2	13	11	24
1	3	3	24	13	37
1	1	3	37	7	44
1	7	4	45	11	56
1	7	5	56	10	66
1	10	5	66	11	77
2	3	1	0	13	13
2	10	1	13	8	21
2	2	2	21	9	30
2	6	1	30	7	37
2	7	3	37	8	45
2	6	3	48	7	55
2	5	1	55	10	65
2	8	3	65	10	75
3	1	1	0	6	6
3	1	2	6	19	25
3	10	2	25	16	41
3	6	2	41	7	48
3	9	3	48	7	55
3	9	4	55	12	67
3	2	5	67	9	76
4	7	1	0	5	5
4	4	2	9	7	16
4	9	2	23	20	43
4	3	4	43	6	49
4	10	4	49	15	64
5	4	1	0	9	9
5	3	2	13	9	22
5	8	2	22	14	36
5	2	3	36	5	41
5	10	3	41	7	48
5	2	4	48	17	65
5	5	2	65	12	77
6	8	1	0	6	6
6	9	1	6	17	23
6	3	5	63	14	77
