makespan: 66.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	2	1	0	17	17
1	8	2	17	12	29
1	8	3	29	11	40
1	9	4	41	14	55
1	4	2	55	10	65
2	6	1	0	15	15
2	1	1	15	12	27
2	5	1	27	8	35
2	5	2	35	7	42
2	5	3	42	6	48
2	6	5	52	14	66
3	6	2	15	19	34
3	6	3	34	7	41
3	10	3	41	5	46
3	3	2	46	7	53
3	1	3	53	5	58
3	3	3	58	7	65
4	8	1	0	17	17
4	9	3	21	20	41
4	1	2	41	10	51
4	10	4	51	15	66
5	9	1	0	16	16
5	9	2	16	5	21
5	10	2	21	5	26
5	3	1	26	7	33
5	7	1	33	6	39
5	7	2	39	20	59
6	10	1	0	13	13
6	4	1	13	12	25
6	2	2	25	17	42
6	6	4	42	10	52
6	8	4	52	13	65
