makespan: 79.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	6	1	0	7	7
1	8	2	11	16	27
1	2	2	27	13	40
1	7	3	40	7	47
1	10	3	47	7	54
1	3	3	54	8	62
1	3	4	62	17	79
2	5	1	0	11	11
2	4	2	12	6	18
2	4	3	18	13	31
2	6	3	37	9	46
2	8	4	46	16	62
2	10	4	62	16	78
3	7	1	0	6	6
3	3	1	6	13	19
3	10	2	20	13	33
3	8	3	33	6	39
3	9	2	39	17	56
3	7	4	61	5	66
3	9	4	66	9	75
4	10	1	0	20	20
4	1	1	20	7	27
4	5	2	27	8	35
4	2	3	40	14	54
4	2	4	54	5	59
4	1	4	59	16	75
5	8	1	0	11	11
5	2	1	11	14	25
5	6	2	25	12	37
5	3	2	37	15	52
5	9	3	56	9	65
5	8	5	65	14	79
6	4	1	0	9	9
6	9	1	9	13	22
6	7	2	22	7	29
6	1	2	29	6	35
6	1	3	35	15	50
6	4	4	50	12	62
6	2	5	62	5	67
6	4	5	67	12	79
