makespan: 72.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	5	1	0	19	19
1	2	1	19	5	24
1	5	2	24	6	30
1	10	3	33	18	51
1	1	4	51	16	67
1	10	5	67	5	72
2	1	1	0	11	11
2	4	1	11	12	23
2	10	2	23	10	33
2	6	2	33	5	38
2	9	1	38	8	46
2	8	5	49	11	60
2	6	4	60	11	71
3	10	1	0	12	12
3	3	2	12	16	28
3	7	2	28	6	34
3	1	3	34	6	40
3	4	2	40	8	48
3	4	3	48	19	67
3	3	3	67	5	72
4	3	1	0	6	6
4	7	1	6	20	26
4	2	2	26	16	42
4	8	4	43	6	49
4	2	3	49	10	59
4	10	4	59	6	65
4	9	2	65	7	72
5	6	1	0	15	15
5	1	2	15	16	31
5	8	3	31	12	43
5	6	3	43	11	54
5	5	4	54	8	62
6	8	1	0	18	18
6	8	2	18	12	30
6	5	3	30	6	36
6	7	3	36	18	54
6	7	4	54	8	62
6	2	4	62	5	67
6	2	5	67	5	72
