makespan: 79.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	8	1	0	5	5
1	3	1	5	12	17
1	5	2	30	12	42
1	1	4	49	9	58
1	1	5	58	19	77
2	4	1	0	7	7
2	2	1	7	12	19
2	2	2	19	17	36
2	3	3	36	6	42
2	9	3	42	11	53
2	9	4	55	18	73
2	9	5	73	6	79
3	7	1	0	10	10
3	1	2	20	15	35
3	6	2	41	7	48
3	4	2	48	11	59
3	10	3	66	7	73
3	10	4	73	5	78
4	10	1	0	18	18
4	3	2	18	5	23
4	5	1	23	7	30
4	1	3	35	14	49
4	10	2	49	17	66
4	2	3	66	13	79
5	9	1	0	20	20
5	7	2	20	11	31
5	6	1	31	10	41
5	3	4	42	20	62
5	8	4	72	7	79
6	1	1	0	20	20
6	9	2	20	13	33
6	8	2	33	19	52
6	8	3	52	20	72
