makespan: 64.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	4	1	0	5	5
1	4	2	5	11	16
1	8	2	19	16	35
1	3	3	37	18	55
1	9	3	55	9	64
2	2	1	0	7	7
2	6	2	7	5	12
2	2	2	12	9	21
2	5	1	21	9	30
2	6	4	30	11	41
2	9	2	41	12	53
2	8	5	58	6	64
3	6	1	0	6	6
3	1	1	6	12	18
3	4	3	18	18	36
3	8	3	36	11	47
3	4	4	47	7	54
3	4	5	54	7	61
4	10	1	0	12	12
4	7	2	12	7	19
4	3	2	20	8	28
4	7	3	28	18	46
4	7	4	46	5	51
4	8	4	51	7	58
4	1	3	58	6	64
5	3	1	0	20	20
5	9	1	20	20	40
5	1	2	40	16	56
5	5	3	57	7	64
6	7	1	0	9	9
6	8	1	9	10	19
6	6	3	19	9	28
6	5	2	34	18	52
6	10	2	52	12	64
