makespan: 66.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	8	1	0	11	11
1	7	1	11	5	16
1	4	2	16	18	34
1	5	1	34	19	53
1	9	3	53	6	59
1	6	5	59	7	66
2	6	1	0	13	13
2	1	2	20	12	32
2	2	1	32	14	46
2	4	4	48	12	60
2	9	4	60	6	66
3	4	1	0	15	15
3	9	1	15	5	20
3	6	3	22	8	30
3	6	4	30	13	43
3	2	2	46	14	60
3	7	4	60	5	65
4	3	1	0	8	8
4	1	1	8	12	20
4	9	2	20	13	33
4	8	3	33	5	38
4	4	3	38	10	48
4	3	4	49	15	64
5	10	1	1	16	17
5	6	2	17	5	22
5	8	2	22	5	27
5	3	3	28	11	39
5	10	3	39	13	52
5	10	4	52	10	62
6	3	2	8	19	27
6	10	2	27	11	38
6	7	2	38	6	44
6	7	3	44	7	51
6	5	2	53	8	61
6	4	5	61	5	66
