makespan: 73.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	10	1	0	12	12
1	6	1	12	9	21
1	6	2	21	13	34
1	10	3	34	19	53
1	1	2	53	13	66
1	7	4	68	5	73
2	3	1	0	10	10
2	3	2	10	10	20
2	5	2	20	10	30
2	4	3	30	15	45
2	5	5	53	12	65
2	6	5	65	8	73
3	5	1	0	12	12
3	10	2	12	20	32
3	7	2	32	6	38
3	8	2	38	7	45
3	4	4	45	14	59
3	4	5	59	12	71
4	9	1	0	17	17
4	7	1	17	14	31
4	5	3	31	10	41
4	6	4	47	7	54
4	7	3	54	14	68
5	4	1	0	7	7
5	1	1	7	13	20
5	8	1	20	15	35
5	6	3	35	12	47
5	2	1	47	9	56
5	2	2	56	17	73
6	4	2	7	16	23
6	9	2	23	18	41
6	5	4	41	12	53
6	9	3	53	20	73
