makespan: 82.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	2	1	0	18	18
1	6	1	18	5	23
1	2	3	23	20	43
1	3	4	43	10	53
1	8	1	53	14	67
1	7	3	67	15	82
2	5	1	0	13	13
2	1	2	13	10	23
2	5	2	23	17	40
2	1	5	40	8	48
2	9	4	48	16	64
2	5	3	64	17	81
3	3	1	0	13	13
3	2	2	18	5	23
3	9	3	23	11	34
3	7	1	34	17	51
3	4	3	51	11	62
3	6	2	62	7	69
3	8	2	69	10	79
4	4	1	0	20	20
4	3	2	20	5	25
4	10	2	44	20	64
4	9	5	64	8	72
4	6	3	72	8	80
5	1	1	0	11	11
5	9	1	11	5	16
5	1	3	23	8	31
5	1	4	31	5	36
5	10	1	36	8	44
5	2	4	44	19	63
5	3	5	63	18	81
6	9	2	16	6	22
6	3	3	25	15	40
6	4	2	40	9	49
6	7	2	51	8	59
6	4	4	62	15	77
