makespan: 71.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	4	1	0	5	5
1	5	3	13	10	23
1	5	4	23	9	32
1	9	3	32	19	51
1	4	3	52	10	62
1	6	2	62	7	69
2	5	1	0	7	7
2	5	2	7	6	13
2	3	1	13	5	18
2	7	1	18	15	33
2	2	1	33	14	47
2	7	3	50	13	63
2	2	3	63	8	71
3	10	1	0	17	17
3	8	2	19	20	39
3	7	2	39	11	50
3	10	2	50	17	67
4	9	1	0	11	11
4	6	1	11	19	30
4	5	5	32	19	51
4	3	4	51	20	71
5	1	1	0	15	15
5	3	2	18	10	28
5	1	2	28	14	42
5	8	3	42	17	59
5	9	4	59	12	71
6	8	1	0	19	19
6	9	2	19	10	29
6	3	3	29	6	35
6	4	2	35	17	52
6	2	2	52	6	58
6	1	3	58	11	69
