makespan: 72.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	6	1	0	14	14
1	8	2	14	10	24
1	9	2	24	12	36
1	3	1	36	15	51
1	7	4	51	15	66
1	7	5	66	6	72
2	1	1	0	17	17
2	6	2	17	9	26
2	5	3	26	8	34
2	5	4	34	7	41
2	4	4	44	10	54
2	10	3	54	7	61
2	4	5	61	8	69
3	8	1	0	7	7
3	4	2	12	11	23
3	6	3	26	15	41
3	7	3	41	7	48
3	8	3	48	9	57
3	6	5	59	12	71
4	5	1	0	18	18
4	5	2	18	5	23
4	7	2	23	15	38
4	10	2	38	16	54
4	3	2	54	5	59
4	2	2	59	7	66
5	10	1	0	6	6
5	4	1	6	6	12
5	1	2	17	11	28
5	1	3	28	12	40
5	9	3	40	10	50
5	9	4	50	8	58
5	3	3	59	12	71
6	9	1	0	5	5
6	7	1	5	7	12
6	2	1	12	15	27
6	4	3	27	11	38
6	6	4	41	18	59
6	10	4	61	10	71
