makespan: 97.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	6	1	0	19	19
1	3	1	19	18	37
1	2	3	37	19	56
1	4	3	56	9	65
1	10	2	70	13	83
1	10	3	83	13	96
2	1	1	0	16	16
2	1	2	16	11	27
2	5	3	27	17	44
2	9	3	44	5	49
2	9	4	49	10	59
2	8	2	59	11	70
2	3	4	70	16	86
2	8	3	86	5	91
2	4	5	91	6	97
3	9	2	13	5	18
3	4	1	18	14	32
3	7	3	45	11	56
3	2	4	56	11	67
3	4	4	67	5	72
3	5	5	72	17	89
3	7	5	89	6	95
4	2	1	0	20	20
4	7	1	20	5	25
4	4	2	32	16	48
4	3	2	48	6	54
4	3	3	55	5	60
4	1	3	60	11	71
4	6	4	74	11	85
4	2	5	85	7	92
5	9	1	0	13	13
5	5	2	13	7	20
5	2	2	20	16	36
5	7	2	36	9	45
5	6	2	45	13	58
5	6	3	58	16	74
5	7	4	74	5	79
5	6	5	85	12	97
6	5	1	0	8	8
6	8	1	8	12	20
6	10	1	20	11	31
6	5	4	44	20	64
6	9	5	64	17	81
6	1	4	81	7	88
6	3	5	88	9	97
