makespan: 75.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	1	1	0	6	6
1	9	2	6	9	15
1	3	1	15	6	21
1	2	2	21	11	32
1	7	3	37	8	45
1	5	2	55	15	70
2	7	1	1	5	6
2	1	2	6	12	18
2	1	3	18	19	37
2	2	3	37	6	43
2	6	4	43	8	51
2	8	5	51	6	57
2	10	5	57	18	75
3	6	1	0	5	5
3	10	2	5	9	14
3	10	3	14	18	32
3	6	3	32	11	43
3	8	4	43	8	51
3	3	2	51	20	71
4	9	1	0	6	6
4	8	1	6	15	21
4	7	2	22	6	28
4	8	3	29	13	42
4	10	4	42	15	57
5	10	1	0	5	5
5	2	1	5	12	17
5	8	2	21	8	29
5	9	3	29	20	49
5	4	4	49	17	66
5	4	5	66	8	74
6	6	2	5	5	10
6	4	1	10	9	19
6	4	2	19	10	29
6	4	3	29	12	41
6	5	1	41	14	55
6	7	4	55	20	75
