makespan: 74.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	1	1	0	16	16
1	3	2	16	5	21
1	9	2	21	13	34
1	9	3	34	18	52
1	9	4	52	6	58
1	7	4	58	5	63
1	9	5	63	8	71
2	3	1	0	10	10
2	10	2	11	15	26
2	6	1	26	8	34
2	2	3	34	16	50
2	4	3	50	5	55
2	10	5	55	18	73
3	2	1	0	11	11
3	7	1	11	18	29
3	4	2	30	7	37
3	7	3	39	16	55
3	3	3	55	17	72
4	10	1	0	11	11
4	5	1	11	13	24
4	5	2	24	14	38
4	6	2	38	17	55
4	2	4	55	14	69
4	2	5	69	5	74
5	8	1	0	8	8
5	2	2	11	15	26
5	10	3	26	5	31
5	1	2	31	5	36
5	8	2	36	19	55
5	4	4	55	18	73
6	9	1	0	18	18
6	4	1	18	12	30
6	7	2	30	9	39
6	10	4	39	15	54
6	1	3	54	10	64
6	7	5	64	10	74
