makespan: 72.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	8	1	0	14	14
1	5	2	14	16	30
1	4	3	30	5	35
1	5	3	35	20	55
1	6	4	55	17	72
2	2	1	0	5	5
2	2	2	5	11	16
2	2	3	16	18	34
2	8	2	34	9	43
2	7	4	43	11	54
2	1	2	54	10	64
3	4	1	0	6	6
3	7	1	6	6	12
3	9	1	12	16	28
3	10	2	29	12	41
3	2	4	41	20	61
3	7	5	61	11	72
4	6	1	0	6	6
4	3	1	6	6	12
4	7	2	12	9	21
4	6	2	21	8	29
4	9	2	29	11	40
4	6	3	40	10	50
4	3	3	50	5	55
4	8	3	55	16	71
5	4	2	6	12	18
5	7	3	21	18	39
5	9	3	40	15	55
5	3	4	55	10	65
5	1	3	65	7	72
6	5	1	0	13	13
6	10	1	13	16	29
6	3	2	29	18	47
6	1	1	47	5	52
6	10	3	52	20	72
