makespan: 73.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	4	1	0	8	8
1	4	2	8	16	24
1	7	4	28	17	45
1	7	5	45	10	55
1	3	4	55	5	60
2	7	2	5	14	19
2	3	2	22	12	34
2	5	1	34	5	39
2	10	2	39	9	48
2	10	3	48	14	62
2	9	5	62	11	73
3	10	1	0	13	13
3	6	1	13	11	24
3	2	1	24	5	29
3	2	2	29	15	44
3	8	2	44	5	49
3	4	4	49	10	59
3	6	2	59	8	67
3	5	2	67	5	72
4	7	1	0	5	5
4	7	3	19	9	28
4	4	3	28	16	44
4	9	3	44	6	50
4	9	4	50	6	56
4	3	5	60	10	70
5	8	1	0	8	8
5	9	2	8	20	28
5	3	3	34	16	50
5	8	3	50	18	68
5	8	4	68	5	73
6	9	1	0	5	5
6	3	1	5	17	22
6	1	1	22	17	39
6	1	2	39	14	53
6	1	3	53	20	73
