makespan: 79.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	1	1	0	8	8
1	3	1	8	17	25
1	7	3	25	20	45
1	10	3	45	18	63
1	1	4	63	16	79
2	5	1	0	19	19
2	2	3	19	7	26
2	10	1	26	5	31
2	10	2	31	10	41
2	8	2	41	10	51
2	8	3	51	14	65
2	9	2	68	10	78
3	6	1	0	14	14
3	5	2	19	5	24
3	1	2	24	19	43
3	4	1	43	8	51
3	4	2	51	5	56
3	6	3	56	18	74
4	2	2	6	12	18
4	6	2	18	18	36
4	3	2	36	10	46
4	4	4	68	11	79
5	2	1	0	6	6
5	7	1	6	7	13
5	8	1	13	10	23
5	2	4	26	18	44
5	1	3	44	10	54
5	9	1	54	14	68
5	2	5	68	6	74
6	7	2	19	6	25
6	4	3	56	12	68
6	8	4	68	7	75
