makespan: 77.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	4	1	0	15	15
1	10	2	15	11	26
1	5	3	26	16	42
1	6	4	42	12	54
1	10	4	54	11	65
1	8	5	65	6	71
2	8	1	0	16	16
2	9	1	16	5	21
2	8	3	21	5	26
2	6	3	28	11	39
2	4	3	41	9	50
2	5	4	50	15	65
2	10	5	65	12	77
3	7	1	1	15	16
3	8	2	16	5	21
3	9	2	21	8	29
3	10	3	30	16	46
3	2	1	46	10	56
3	9	4	56	6	62
3	1	3	62	5	67
3	1	4	67	10	77
4	6	1	0	20	20
4	5	2	21	5	26
4	1	1	26	9	35
4	3	1	35	8	43
4	2	2	56	7	63
4	3	3	64	12	76
5	8	4	26	12	38
5	1	2	38	13	51
5	3	2	51	13	64
5	7	2	64	12	76
6	10	1	0	10	10
6	5	1	10	11	21
6	6	2	21	7	28
6	4	2	28	13	41
6	9	3	41	12	53
6	6	5	54	15	69
