makespan: 76.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	1	1	0	20	20
1	2	2	20	11	31
1	8	2	32	8	40
1	1	3	41	11	52
1	10	3	52	5	57
1	5	4	69	7	76
2	2	1	0	16	16
2	8	1	16	16	32
2	3	1	32	13	45
2	5	2	45	9	54
2	5	3	54	15	69
3	10	1	0	6	6
3	6	1	6	20	26
3	10	2	26	7	33
3	4	4	33	7	40
3	7	4	41	6	47
3	7	5	47	15	62
3	8	4	62	14	76
4	4	1	0	14	14
4	9	2	14	10	24
4	9	3	24	9	33
4	7	3	33	5	38
4	8	3	40	13	53
4	2	4	63	11	74
5	9	1	0	10	10
5	4	2	14	8	22
5	4	3	22	7	29
5	1	2	29	12	41
5	3	2	45	11	56
6	7	1	0	13	13
6	7	2	13	20	33
6	5	1	33	10	43
6	2	3	43	20	63
6	6	2	63	6	69
