makespan: 71.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	10	1	0	7	7
1	10	2	7	5	12
1	6	1	12	16	28
1	9	3	28	10	38
1	5	2	43	8	51
1	10	5	51	20	71
2	9	1	0	11	11
2	7	2	11	13	24
2	5	1	24	19	43
2	6	2	43	7	50
2	5	3	51	15	66
2	5	4	66	5	71
3	2	1	0	8	8
3	4	1	8	6	14
3	9	2	14	10	24
3	4	2	24	12	36
3	9	4	38	10	48
3	7	4	48	9	57
3	7	5	57	11	68
4	7	1	0	11	11
4	8	1	11	15	26
4	7	3	26	20	46
4	1	2	46	11	57
4	9	5	57	8	65
5	1	1	0	10	10
5	2	2	10	19	29
5	2	3	29	17	46
5	4	3	46	8	54
5	3	3	54	6	60
5	6	3	60	5	65
5	1	3	65	5	70
6	3	1	0	7	7
6	3	2	7	12	19
6	10	3	19	14	33
6	10	4	33	13	46
6	8	2	46	12	58
