makespan: 88.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	6	1	0	10	10
1	1	1	10	9	19
1	2	2	19	16	35
1	7	2	37	14	51
1	6	4	51	12	63
1	5	3	63	16	79
2	2	1	0	16	16
2	9	1	16	12	28
2	8	3	28	15	43
2	8	4	43	7	50
2	4	4	52	14	66
2	7	5	66	9	75
2	10	4	75	12	87
3	4	2	8	14	22
3	6	3	22	19	41
3	3	3	41	19	60
3	9	2	60	19	79
3	8	5	79	8	87
4	8	1	0	8	8
4	6	2	10	10	20
4	3	2	20	6	26
4	10	2	26	16	42
4	2	3	42	18	60
4	2	4	60	19	79
4	5	4	79	9	88
5	4	1	0	8	8
5	8	2	8	6	14
5	10	1	14	8	22
5	7	1	22	15	37
5	5	2	39	12	51
5	7	3	51	6	57
5	7	4	57	9	66
5	4	5	66	20	86
6	3	1	0	19	19
6	5	1	19	20	39
6	4	3	39	12	51
6	10	3	51	16	67
6	6	5	67	12	79
6	1	2	79	8	87
