makespan: 73.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	2	1	0	18	18
1	3	2	18	16	34
1	5	3	34	17	51
1	3	4	51	13	64
1	10	4	64	9	73
2	1	1	0	8	8
2	6	2	41	5	46
2	9	3	46	16	62
2	1	4	62	5	67
2	9	4	67	6	73
3	5	1	0	9	9
3	9	1	9	14	23
3	9	2	23	9	32
3	7	1	32	18	50
3	1	3	50	6	56
3	7	2	56	7	63
3	7	3	63	10	73
4	8	1	0	7	7
4	6	1	7	9	16
4	10	2	17	8	25
4	4	2	25	6	31
4	2	3	31	14	45
4	4	4	47	19	66
4	1	5	67	6	73
5	4	1	0	18	18
5	2	2	18	9	27
5	8	2	27	5	32
5	4	3	32	15	47
5	6	3	47	10	57
5	8	3	57	6	63
5	6	4	64	7	71
6	3	1	0	11	11
6	10	1	11	6	17
6	5	2	17	12	29
6	1	2	29	7	36
6	3	3	36	11	47
6	10	3	47	15	62
