makespan: 74.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	4	1	0	5	5
1	8	1	5	12	17
1	8	2	17	6	23
1	9	1	23	6	29
1	10	4	32	20	52
1	5	3	53	11	64
1	5	4	64	9	73
2	3	1	0	7	7
2	3	2	7	17	24
2	3	3	24	12	36
2	5	2	36	17	53
2	1	5	57	16	73
3	4	2	5	10	15
3	10	2	15	8	23
3	10	3	23	9	32
3	8	3	32	8	40
3	1	4	40	17	57
3	2	5	57	8	65
3	9	3	65	7	72
4	1	1	0	12	12
4	2	1	12	5	17
4	5	1	17	14	31
4	2	3	31	12	43
4	7	1	43	10	53
4	8	4	53	10	63
4	7	3	63	11	74
5	10	1	0	12	12
5	6	2	14	11	25
5	2	2	25	5	30
5	1	3	32	7	39
5	4	3	39	15	54
5	10	5	54	20	74
6	6	1	0	14	14
6	1	2	14	18	32
6	9	2	32	7	39
6	2	4	43	10	53
6	7	2	53	7	60
6	3	4	60	13	73
