makespan: 66.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	4	1	0	7	7
1	5	1	7	10	17
1	1	1	17	14	31
1	4	3	31	8	39
1	4	4	39	10	49
1	4	5	49	10	59
1	6	2	59	6	65
2	8	1	0	6	6
2	2	1	6	9	15
2	7	2	15	13	28
2	8	4	30	16	46
2	9	3	46	7	53
3	10	1	0	18	18
3	6	1	18	7	25
3	8	3	25	5	30
3	3	4	30	9	39
3	1	3	39	7	46
3	8	5	46	20	66
4	7	1	0	14	14
4	3	3	14	12	26
4	9	2	26	5	31
4	2	3	31	10	41
4	7	3	41	6	47
4	2	4	47	12	59
5	3	1	0	6	6
5	3	2	6	6	12
5	4	2	12	14	26
5	5	2	26	11	37
5	5	3	37	15	52
5	7	4	52	12	64
6	9	1	0	6	6
6	8	2	6	10	16
6	2	2	16	15	31
6	1	2	31	5	36
6	10	2	36	16	52
6	5	4	52	10	62
