makespan: 81.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	2	1	0	18	18
1	8	1	18	11	29
1	2	3	29	17	46
1	2	4	46	8	54
1	7	4	54	18	72
1	7	5	72	9	81
2	6	1	0	11	11
2	4	3	11	17	28
2	9	3	29	8	37
2	8	3	37	17	54
2	10	4	54	20	74
2	8	5	76	5	81
3	4	1	0	6	6
3	4	2	6	5	11
3	10	2	11	6	17
3	9	2	23	6	29
3	1	1	29	13	42
3	7	3	42	7	49
3	5	3	49	20	69
4	5	1	0	19	19
4	5	2	19	5	24
4	6	2	24	5	29
4	8	2	29	7	36
4	3	2	36	20	56
4	6	3	56	14	70
4	3	4	71	7	78
5	7	1	0	7	7
5	7	2	7	13	20
5	2	2	20	7	27
5	10	3	27	20	47
5	1	2	47	10	57
5	3	3	57	14	71
5	8	4	71	5	76
6	10	1	0	9	9
6	9	1	9	14	23
6	3	1	23	8	31
6	9	4	37	15	52
6	9	5	52	10	62
6	2	5	62	15	77
