makespan: 85.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	10	1	1	18	19
1	5	2	19	7	26
1	9	3	31	16	47
1	7	4	47	9	56
1	10	4	56	16	72
1	1	2	72	11	83
2	1	1	0	11	11
2	9	2	11	20	31
2	7	2	31	10	41
2	6	2	41	7	48
2	2	2	48	15	63
2	9	5	63	13	76
2	10	5	76	7	83
3	4	1	0	16	16
3	3	1	16	8	24
3	8	1	24	9	33
3	7	5	56	10	66
3	4	5	66	19	85
4	5	1	0	8	8
4	2	1	8	16	24
4	3	2	24	15	39
4	10	3	39	17	56
4	5	3	56	9	65
5	9	1	0	11	11
5	7	1	11	19	30
5	10	2	30	5	35
5	8	2	35	5	40
5	7	3	41	6	47
5	9	4	47	13	60
5	3	3	60	15	75
5	6	4	75	6	81
6	6	1	0	15	15
6	4	2	16	14	30
6	4	3	30	20	50
6	4	4	50	12	62
6	6	3	62	13	75
6	5	4	75	8	83
