makespan: 89.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	3	1	0	5	5
1	7	1	5	9	14
1	4	2	15	16	31
1	7	4	33	19	52
1	7	5	52	16	68
1	3	3	68	5	73
1	6	5	73	13	86
2	5	1	0	7	7
2	5	2	7	17	24
2	9	2	24	13	37
2	6	3	38	7	45
2	4	4	45	20	65
2	4	5	65	17	82
2	1	3	82	7	89
3	1	1	0	13	13
3	7	3	20	13	33
3	4	3	33	8	41
3	9	3	41	11	52
3	10	4	66	7	73
3	10	5	73	6	79
4	6	1	0	8	8
4	10	1	8	6	14
4	7	2	14	6	20
4	6	2	20	18	38
4	10	2	38	16	54
4	1	2	54	17	71
4	8	2	71	14	85
5	4	1	0	15	15
5	2	1	15	9	24
5	2	2	24	10	34
5	10	3	54	12	66
6	8	1	0	8	8
6	9	1	8	11	19
6	3	2	19	10	29
6	2	3	34	18	52
6	6	4	52	20	72
6	2	4	72	17	89
