makespan: 70.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	3	1	0	7	7
1	3	2	8	12	20
1	9	2	20	12	32
1	9	3	32	5	37
1	4	4	38	5	43
1	2	3	43	8	51
1	5	4	55	6	61
1	5	5	61	9	70
2	2	1	0	18	18
2	5	2	19	11	30
2	4	3	30	8	38
2	9	4	38	10	48
2	9	5	48	6	54
2	2	4	54	16	70
3	9	1	0	9	9
3	7	1	9	10	19
3	1	2	19	9	28
3	10	2	28	5	33
3	5	3	33	17	50
3	1	4	50	12	62
4	5	1	0	19	19
4	7	2	19	10	29
4	1	3	29	8	37
4	8	1	37	8	45
4	10	3	45	14	59
4	4	5	62	6	68
5	1	1	0	13	13
5	4	2	13	11	24
5	6	1	24	14	38
5	6	2	38	9	47
5	3	3	47	9	56
5	1	5	62	8	70
6	4	1	0	12	12
6	10	1	12	13	25
6	2	2	25	18	43
6	7	3	43	18	61
6	8	2	61	8	69
