makespan: 84.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	7	1	1	12	13
1	6	2	13	9	22
1	1	2	25	10	35
1	8	4	36	16	52
1	4	3	52	20	72
1	2	5	72	11	83
2	8	1	0	11	11
2	1	1	11	14	25
2	4	2	25	15	40
2	2	4	40	20	60
2	3	1	61	7	68
2	5	4	68	6	74
3	2	1	0	12	12
3	8	2	12	19	31
3	8	3	31	5	36
3	5	2	36	16	52
3	1	3	52	15	67
3	9	4	67	6	73
3	1	5	73	11	84
4	4	1	0	7	7
4	9	1	7	15	22
4	7	2	22	12	34
4	7	3	34	10	44
4	10	1	44	9	53
4	5	3	53	15	68
4	1	4	68	5	73
4	5	5	74	9	83
5	6	1	0	6	6
5	2	2	13	9	22
5	2	3	26	13	39
5	9	2	39	5	44
5	9	3	44	19	63
6	5	1	1	19	20
6	6	3	32	17	49
6	7	4	49	10	59
6	10	2	66	11	77
6	3	2	77	6	83
