makespan: 90.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	8	1	0	9	9
1	9	1	9	20	29
1	5	3	29	19	48
1	4	2	48	15	63
1	7	3	63	11	74
1	6	5	75	15	90
2	10	1	0	17	17
2	1	1	17	5	22
2	6	1	22	15	37
2	9	2	37	15	52
2	9	3	52	18	70
2	5	5	70	20	90
3	5	1	0	16	16
3	5	2	16	12	28
3	6	2	37	14	51
3	10	3	51	9	60
3	6	4	60	15	75
3	8	4	75	5	80
3	7	4	80	7	87
4	3	1	0	15	15
4	1	2	22	19	41
4	8	3	41	10	51
4	3	2	51	17	68
4	10	4	68	10	78
4	10	5	78	11	89
5	7	1	0	18	18
5	8	2	18	13	31
5	4	1	31	15	46
5	5	4	48	18	66
5	1	3	66	20	86
6	2	1	1	16	17
6	10	2	17	17	34
6	7	2	34	20	54
6	6	3	54	6	60
6	2	2	60	9	69
6	2	3	69	16	85
