makespan: 67.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	1	1	0	13	13
1	5	1	13	7	20
1	7	2	20	11	31
1	9	3	36	6	42
1	6	3	42	15	57
1	4	4	60	7	67
2	10	1	1	6	7
2	2	2	8	18	26
2	4	2	29	7	36
2	7	3	36	18	54
2	7	4	54	13	67
3	2	1	0	7	7
3	3	1	7	15	22
3	4	1	22	7	29
3	1	2	29	9	38
3	5	2	38	9	47
3	3	4	47	13	60
3	1	4	60	7	67
4	9	1	0	13	13
4	10	2	13	13	26
4	8	2	26	15	41
4	4	3	41	12	53
4	5	3	53	13	66
5	7	1	0	14	14
5	9	2	15	20	35
5	6	2	35	6	41
5	9	4	42	15	57
5	9	5	57	9	66
6	8	1	0	7	7
6	6	1	8	16	24
6	3	2	24	5	29
6	3	3	29	9	38
6	1	3	38	8	46
6	8	3	48	19	67
