makespan: 79.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	3	1	0	10	10
1	9	2	10	6	16
1	1	2	16	9	25
1	8	3	25	20	45
1	4	4	45	18	63
1	1	4	63	6	69
2	9	1	0	6	6
2	6	1	6	11	17
2	8	2	17	6	23
2	10	2	23	8	31
2	7	1	31	12	43
2	7	2	43	7	50
2	3	4	50	11	61
2	4	5	63	14	77
3	1	1	0	13	13
3	6	2	17	10	27
3	5	2	31	8	39
3	5	3	39	11	50
3	5	4	50	18	68
3	1	5	69	8	77
4	8	1	0	8	8
4	4	2	15	15	30
4	9	3	30	19	49
4	1	3	49	12	61
4	7	4	61	7	68
4	7	5	68	8	76
5	4	1	0	15	15
5	5	1	15	16	31
5	3	3	37	11	48
5	7	3	50	7	57
5	2	2	57	20	77
6	2	1	0	14	14
6	10	1	14	9	23
6	3	2	23	14	37
6	4	3	37	5	42
6	9	4	49	10	59
6	9	5	59	20	79
