makespan: 78.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	9	1	0	13	13
1	10	2	18	11	29
1	4	1	29	17	46
1	8	3	46	11	57
1	5	2	57	18	75
2	6	1	0	9	9
2	8	2	26	11	37
2	7	3	46	16	62
2	3	3	65	7	72
3	1	2	10	19	29
3	10	3	29	9	38
3	1	4	38	16	54
3	10	5	54	8	62
3	7	4	62	5	67
3	8	4	67	5	72
3	3	4	72	6	78
4	10	1	0	18	18
4	7	1	18	13	31
4	5	1	31	6	37
4	10	4	38	13	51
4	3	2	51	14	65
4	4	2	65	5	70
4	6	2	70	5	75
5	1	1	0	10	10
5	8	1	10	16	26
5	3	1	26	20	46
5	9	4	46	18	64
5	9	5	64	11	75
6	9	2	13	12	25
6	9	3	25	6	31
6	1	3	31	5	36
6	7	2	36	10	46
6	2	1	46	19	65
6	2	2	65	8	73
