makespan: 84.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	6	1	1	6	7
1	8	1	7	11	18
1	10	1	18	8	26
1	2	3	34	16	50
1	7	4	50	15	65
1	8	5	65	19	84
2	2	2	15	16	31
2	6	3	31	14	45
2	10	3	45	9	54
2	1	2	54	6	60
2	1	3	60	14	74
2	3	5	76	6	82
3	9	1	0	7	7
3	7	1	7	10	17
3	7	2	17	12	29
3	3	1	29	8	37
3	3	2	37	19	56
3	10	4	56	8	64
3	3	4	69	7	76
4	2	1	0	15	15
4	6	2	15	6	21
4	4	1	21	9	30
4	10	2	30	12	42
4	1	1	42	11	53
4	8	4	53	11	64
4	6	5	64	10	74
4	1	4	74	7	81
5	5	2	6	12	18
5	9	3	18	14	32
5	7	3	32	14	46
5	4	3	46	20	66
5	10	5	66	18	84
6	5	1	0	6	6
6	9	2	7	5	12
6	5	3	18	5	23
6	8	2	23	9	32
6	4	2	32	7	39
6	8	3	39	6	45
6	6	4	45	12	57
6	3	3	57	12	69
6	9	4	69	15	84
