makespan: 74.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	9	1	0	6	6
1	5	2	7	13	20
1	3	3	20	7	27
1	7	2	27	11	38
1	8	2	38	16	54
1	5	3	54	7	61
1	9	3	67	7	74
2	4	1	0	14	14
2	4	2	14	9	23
2	8	3	54	10	64
2	8	4	64	9	73
3	2	1	0	13	13
3	7	1	13	9	22
3	1	1	22	16	38
3	7	3	38	16	54
3	9	2	54	12	66
4	6	1	0	7	7
4	10	1	7	19	26
4	10	2	26	13	39
4	2	3	39	15	54
4	10	3	54	7	61
4	5	4	61	13	74
5	3	1	0	8	8
5	8	1	8	8	16
5	2	2	16	16	32
5	3	5	34	20	54
5	2	4	54	11	65
5	1	3	65	6	71
6	5	1	0	7	7
6	3	2	8	7	15
6	6	2	15	10	25
6	3	4	27	7	34
6	4	3	34	6	40
6	1	2	40	8	48
6	4	4	48	14	62
6	7	4	62	5	67
6	2	5	67	7	74
