makespan: 56.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	7	1	0	8	8
1	1	1	8	5	13
1	2	1	13	14	27
1	5	3	27	14	41
1	6	5	41	13	54
2	4	1	0	19	19
2	1	2	19	13	32
2	6	4	32	6	38
2	3	4	38	17	55
3	10	1	0	11	11
3	5	2	11	5	16
3	6	2	16	8	24
3	9	1	24	13	37
3	9	2	37	8	45
3	1	3	45	6	51
3	2	2	51	5	56
4	3	1	0	8	8
4	3	2	8	6	14
4	7	2	14	10	24
4	10	3	24	5	29
4	8	2	29	11	40
4	5	4	41	5	46
5	5	1	0	9	9
5	8	1	9	13	22
5	6	3	24	5	29
5	7	3	29	5	34
5	10	4	34	11	45
5	4	3	45	8	53
6	6	1	0	13	13
6	10	2	13	6	19
6	3	3	19	12	31
6	4	2	31	11	42
6	7	4	42	13	55
