makespan: 77.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	8	1	0	12	12
1	2	2	14	6	20
1	10	1	20	18	38
1	10	2	38	9	47
1	3	4	47	11	58
1	6	1	58	8	66
1	10	5	67	10	77
2	3	1	0	11	11
2	4	2	11	8	19
2	7	2	19	6	25
2	5	3	25	8	33
2	5	4	33	6	39
2	2	4	39	19	58
2	9	2	58	6	64
2	8	5	65	12	77
3	1	1	0	6	6
3	7	1	6	8	14
3	3	2	14	7	21
3	4	3	21	19	40
3	5	5	40	13	53
3	10	4	53	14	67
3	6	2	67	7	74
4	5	1	0	7	7
4	5	2	7	15	22
4	1	2	22	19	41
4	8	4	50	15	65
4	2	5	65	12	77
5	4	1	0	6	6
5	8	2	12	10	22
5	2	3	22	10	32
5	8	3	32	18	50
5	3	5	58	19	77
6	2	1	0	14	14
6	9	1	15	20	35
6	3	3	35	10	45
6	10	3	47	5	52
