makespan: 76.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	4	1	0	5	5
1	2	2	18	12	30
1	7	2	30	8	38
1	10	4	38	17	55
1	10	5	55	14	69
1	3	5	69	7	76
2	8	1	0	11	11
2	5	1	11	8	19
2	6	1	19	18	37
2	4	2	37	20	57
2	1	2	57	6	63
3	1	1	0	18	18
3	3	3	23	17	40
3	8	2	40	19	59
3	7	3	59	16	75
4	2	1	0	18	18
4	7	1	18	12	30
4	9	1	30	9	39
4	3	4	40	18	58
4	9	2	60	9	69
4	6	5	70	6	76
5	3	1	0	7	7
5	3	2	7	16	23
5	10	3	26	10	36
5	6	2	37	14	51
5	6	3	51	6	57
5	6	4	57	13	70
6	10	1	0	6	6
6	10	2	6	20	26
6	5	2	32	15	47
6	5	3	47	8	55
6	4	3	57	14	71
