makespan: 71.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	7	1	0	10	10
1	8	1	10	6	16
1	3	1	16	5	21
1	9	2	21	5	26
1	5	3	29	20	49
1	7	4	49	12	61
1	10	3	61	6	67
2	10	1	0	8	8
2	7	2	10	8	18
2	1	2	19	13	32
2	7	3	32	13	45
2	9	5	45	14	59
2	1	4	59	6	65
2	5	5	65	6	71
3	1	1	0	19	19
3	5	2	19	10	29
3	2	1	29	11	40
3	4	1	40	6	46
3	4	2	46	8	54
3	4	3	54	7	61
3	6	3	61	7	68
4	9	1	0	20	20
4	8	2	20	16	36
4	6	2	36	6	42
4	2	3	50	18	68
5	10	2	8	10	18
5	3	2	21	9	30
5	9	4	31	8	39
5	2	2	40	10	50
5	8	3	50	6	56
5	5	4	56	9	65
5	1	5	65	6	71
6	5	1	0	19	19
6	6	1	19	5	24
6	9	3	26	5	31
6	1	3	32	20	52
6	8	4	56	5	61
6	4	4	61	6	67
