makespan: 82.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	3	1	0	15	15
1	3	2	15	16	31
1	8	2	31	11	42
1	6	3	42	12	54
1	4	4	54	19	73
1	9	4	73	9	82
2	10	1	0	9	9
2	8	1	9	7	16
2	5	2	25	9	34
2	5	3	34	15	49
2	3	5	59	15	74
2	4	5	74	8	82
3	7	1	0	12	12
3	5	1	12	13	25
3	9	1	25	5	30
3	3	3	31	18	49
3	9	3	49	15	64
3	10	4	64	6	70
3	1	3	70	9	79
4	4	1	0	16	16
4	4	2	16	5	21
4	1	1	21	14	35
4	10	3	35	16	51
4	8	3	51	13	64
4	6	4	64	5	69
4	7	5	69	12	81
5	2	1	0	17	17
5	6	1	17	9	26
5	7	2	26	10	36
5	7	3	36	5	41
5	9	2	41	8	49
5	3	4	49	10	59
5	7	4	59	7	66
5	8	4	66	10	76
6	10	2	9	17	26
6	6	2	26	12	38
6	4	3	38	11	49
6	1	2	49	10	59
6	2	2	59	19	78
