makespan: 75.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	10	1	0	20	20
1	10	2	20	9	29
1	8	3	29	5	34
1	6	3	34	11	45
1	5	3	45	5	50
1	5	4	50	9	59
1	4	4	59	11	70
2	6	1	0	9	9
2	6	2	9	10	19
2	4	1	19	10	29
2	9	2	29	14	43
2	4	3	44	6	50
2	10	4	50	5	55
2	7	2	55	12	67
2	5	5	67	6	73
3	2	1	0	6	6
3	2	2	6	20	26
3	5	2	26	15	41
3	3	4	41	8	49
3	1	2	49	19	68
3	2	3	68	7	75
4	9	1	0	18	18
4	3	2	18	6	24
4	4	2	29	15	44
4	7	1	44	6	50
4	3	5	50	20	70
5	3	1	0	16	16
5	8	2	16	10	26
5	3	3	26	15	41
5	8	4	41	20	61
5	8	5	61	7	68
5	9	3	68	6	74
6	8	1	0	8	8
6	5	1	8	9	17
6	1	1	17	14	31
6	10	3	31	15	46
6	6	4	46	8	54
6	10	5	55	19	74
