makespan: 76.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	8	1	0	7	7
1	1	2	18	5	23
1	9	2	23	8	31
1	10	2	31	8	39
1	10	3	39	11	50
1	7	4	50	8	58
1	4	2	58	17	75
2	7	1	0	9	9
2	9	1	9	12	21
2	2	1	21	12	33
2	2	2	33	6	39
2	1	4	42	13	55
2	9	3	55	11	66
3	10	1	0	11	11
3	6	2	11	15	26
3	3	3	27	13	40
3	3	4	40	15	55
3	1	5	56	10	66
3	2	5	66	10	76
4	3	1	0	8	8
4	1	1	8	10	18
4	5	1	18	8	26
4	1	3	26	12	38
4	6	3	40	8	48
4	2	4	48	9	57
4	5	4	57	6	63
4	3	5	63	13	76
5	4	1	0	6	6
5	7	2	9	10	19
5	7	3	19	15	34
5	5	2	34	8	42
5	2	3	42	6	48
5	6	4	48	7	55
5	7	5	58	18	76
6	6	1	0	9	9
6	3	2	9	18	27
6	8	2	27	19	46
6	5	3	46	5	51
6	6	5	55	14	69
6	9	4	69	7	76
