makespan: 74.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	9	1	0	17	17
1	1	2	17	20	37
1	2	4	37	11	48
1	2	5	49	12	61
1	10	3	61	5	66
1	7	4	66	7	73
2	3	1	0	6	6
2	6	1	6	14	20
2	2	3	20	12	32
2	5	3	32	8	40
2	10	2	40	19	59
2	4	4	59	7	66
2	10	4	66	8	74
3	2	1	0	7	7
3	3	2	7	8	15
3	7	1	15	14	29
3	4	3	29	20	49
3	8	3	49	7	56
3	8	4	56	18	74
4	4	1	0	20	20
4	4	2	20	8	28
4	7	2	29	7	36
4	9	2	36	6	42
4	6	2	42	6	48
4	1	3	52	16	68
5	1	1	0	16	16
5	5	2	16	7	23
5	10	1	23	6	29
5	8	1	29	7	36
5	7	3	36	10	46
5	5	4	46	6	52
5	5	5	52	18	70
6	5	1	0	12	12
6	2	2	12	5	17
6	3	3	17	19	36
6	8	2	36	9	45
6	9	3	45	20	65
6	1	4	68	6	74
