makespan: 77.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	8	1	0	17	17
1	8	2	17	10	27
1	9	1	27	8	35
1	4	2	38	9	47
1	10	3	47	12	59
1	8	5	59	16	75
2	7	1	1	13	14
2	1	1	14	11	25
2	4	1	25	13	38
2	6	3	38	20	58
2	2	4	59	15	74
3	5	1	0	15	15
3	6	2	16	8	24
3	7	2	25	7	32
3	1	2	32	13	45
3	9	2	45	6	51
3	4	3	51	20	71
3	6	4	71	5	76
4	10	1	0	15	15
4	3	1	16	11	27
4	2	2	27	11	38
4	5	3	38	7	45
4	2	3	47	12	59
4	10	4	59	5	64
4	10	5	64	7	71
4	9	4	71	5	76
5	2	1	0	18	18
5	5	2	18	15	33
5	7	3	33	6	39
5	8	4	39	15	54
5	9	3	54	8	62
5	5	4	62	15	77
6	6	1	0	16	16
6	10	2	17	7	24
6	8	3	27	12	39
6	3	2	40	13	53
6	3	3	53	8	61
6	3	4	61	5	66
6	7	4	66	11	77
