makespan: 68.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	5	1	0	20	20
1	8	2	20	13	33
1	9	2	33	13	46
1	10	4	46	5	51
1	4	4	52	15	67
2	2	1	0	6	6
2	4	1	6	7	13
2	1	2	13	9	22
2	10	3	26	9	35
2	8	3	35	16	51
2	9	3	51	5	56
2	10	5	56	12	68
3	1	1	0	8	8
3	10	2	8	18	26
3	9	1	26	5	31
3	2	3	31	6	37
3	6	3	37	20	57
3	3	2	57	9	66
4	10	1	0	8	8
4	7	1	8	11	19
4	4	2	19	11	30
4	5	2	30	15	45
4	7	2	45	7	52
4	5	3	52	8	60
4	6	4	60	7	67
5	8	1	0	10	10
5	6	1	10	19	29
5	1	3	29	15	44
5	1	4	44	6	50
5	9	4	56	11	67
6	3	1	0	10	10
6	2	2	10	18	28
6	6	2	29	7	36
6	4	3	40	7	47
6	2	4	49	18	67
