makespan: 74.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	4	1	0	13	13
1	5	2	13	16	29
1	6	4	39	6	45
1	3	3	46	14	60
1	7	3	60	6	66
2	7	1	0	14	14
2	8	2	14	5	19
2	8	3	19	5	24
2	2	2	24	7	31
2	4	3	34	12	46
2	6	5	46	18	64
2	3	4	64	10	74
3	5	1	0	11	11
3	3	1	11	11	22
3	6	2	22	6	28
3	10	1	28	17	45
3	9	2	45	17	62
3	1	4	62	11	73
4	8	1	0	6	6
4	2	1	6	16	22
4	1	2	22	17	39
4	1	3	39	6	45
4	4	4	46	13	59
4	10	3	59	9	68
4	7	4	68	5	73
5	6	1	0	9	9
5	9	1	9	18	27
5	8	4	27	7	34
5	5	3	34	5	39
5	5	4	39	16	55
5	5	5	55	18	73
6	1	1	0	18	18
6	4	2	18	16	34
6	6	3	34	5	39
6	3	2	39	7	46
6	7	2	46	5	51
6	10	2	51	8	59
6	9	3	62	6	68
