makespan: 72.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	9	1	0	6	6
1	3	2	11	6	17
1	6	3	17	7	24
1	7	3	24	11	35
1	4	4	43	12	55
1	5	3	55	17	72
2	7	1	0	13	13
2	4	2	13	14	27
2	2	2	28	13	41
2	9	4	41	5	46
2	5	2	46	6	52
2	10	2	52	16	68
3	6	1	0	5	5
3	9	2	6	6	12
3	7	2	13	11	24
3	3	3	25	6	31
3	3	4	31	15	46
3	6	5	46	6	52
3	4	5	55	17	72
4	4	1	0	6	6
4	6	2	6	8	14
4	9	3	14	10	24
4	6	4	24	17	41
4	2	3	41	20	61
4	7	5	61	11	72
5	2	1	0	15	15
5	5	1	15	7	22
5	10	1	22	12	34
5	1	1	34	7	41
5	9	5	46	9	55
5	1	2	55	16	71
6	3	1	0	11	11
6	8	1	11	12	23
6	8	2	23	5	28
6	4	3	28	13	41
6	7	4	41	19	60
6	2	4	61	11	72
