makespan: 60.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	6	1	0	7	7
1	10	2	7	15	22
1	7	4	24	5	29
1	5	3	29	17	46
1	3	2	46	10	56
2	1	1	0	5	5
2	6	2	7	14	21
2	2	1	21	14	35
2	3	1	35	11	46
2	2	3	46	5	51
2	8	4	51	5	56
3	10	1	0	7	7
3	8	1	7	15	22
3	6	3	22	16	38
3	2	2	38	7	45
3	9	2	45	11	56
4	5	1	0	6	6
4	5	2	6	14	20
4	4	2	20	6	26
4	4	3	26	14	40
4	8	3	40	7	47
4	1	2	47	13	60
5	7	2	5	6	11
5	4	1	11	6	17
5	9	1	17	11	28
5	7	5	29	9	38
5	10	3	38	12	50
6	7	1	0	5	5
6	7	3	11	13	24
6	8	2	24	14	38
6	6	4	38	7	45
6	4	4	45	6	51
6	2	4	51	8	59
