makespan: 74.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	8	1	0	10	10
1	5	2	10	11	21
1	6	2	21	17	38
1	8	2	38	10	48
1	2	5	50	19	69
2	6	1	0	16	16
2	9	2	16	14	30
2	7	2	30	10	40
2	2	4	40	10	50
2	5	4	50	10	60
2	10	3	62	12	74
3	5	1	0	10	10
3	1	1	10	7	17
3	4	1	17	11	28
3	1	2	28	12	40
3	1	3	40	5	45
3	7	4	46	20	66
4	10	1	0	15	15
4	2	3	21	12	33
4	5	3	33	16	49
4	8	3	49	6	55
4	10	2	55	7	62
4	7	5	66	5	71
5	9	1	0	14	14
5	2	2	14	7	21
5	3	2	21	16	37
5	3	3	37	15	52
5	9	3	52	17	69
6	2	1	0	13	13
6	3	1	13	6	19
6	7	1	19	8	27
6	4	2	28	11	39
6	7	3	40	6	46
6	6	3	46	10	56
6	5	5	60	14	74
