makespan: 72.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	1	1	0	6	6
1	3	1	6	14	20
1	6	2	20	5	25
1	1	3	25	8	33
1	2	2	33	5	38
1	3	3	38	12	50
1	4	4	50	16	66
1	2	5	66	6	72
2	8	1	1	9	10
2	7	2	10	12	22
2	3	2	22	16	38
2	10	3	38	9	47
2	9	1	47	6	53
2	10	5	54	16	70
3	10	1	0	7	7
3	2	1	7	19	26
3	4	2	26	6	32
3	5	2	33	13	46
3	7	4	46	20	66
3	9	2	66	6	72
4	4	1	0	12	12
4	1	2	12	10	22
4	5	1	22	11	33
4	7	3	33	5	38
4	2	3	38	16	54
4	2	4	54	10	64
4	5	4	67	5	72
5	7	1	0	9	9
5	8	2	10	7	17
5	8	3	17	15	32
5	4	3	32	16	48
5	10	4	48	6	54
5	3	4	54	17	71
6	6	1	0	13	13
6	10	2	13	10	23
6	6	3	25	12	37
6	8	4	37	20	57
6	5	3	57	10	67
6	4	5	67	5	72
