makespan: 69.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	10	1	0	13	13
1	7	2	15	5	20
1	10	2	20	6	26
1	4	1	26	5	31
1	4	2	31	6	37
1	4	3	37	17	54
1	8	4	54	15	69
2	6	2	11	6	17
2	2	1	17	19	36
2	2	2	36	9	45
2	6	4	45	6	51
2	10	3	51	9	60
3	5	1	0	6	6
3	6	1	6	5	11
3	9	1	11	7	18
3	3	2	18	7	25
3	8	3	25	20	45
3	9	5	48	5	53
3	6	5	53	14	67
4	7	1	0	15	15
4	5	3	15	9	24
4	9	2	24	5	29
4	1	1	29	7	36
4	3	3	36	8	44
4	7	5	44	16	60
4	4	4	60	9	69
5	8	1	0	10	10
5	8	2	10	10	20
5	7	3	20	13	33
5	7	4	33	6	39
5	1	2	39	11	50
5	2	3	50	19	69
6	3	1	0	6	6
6	5	2	6	9	15
6	6	3	17	10	27
6	9	3	29	8	37
6	9	4	37	11	48
6	5	4	48	7	55
6	5	5	55	13	68
