makespan: 86.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	4	1	0	9	9
1	9	2	9	18	27
1	5	3	27	20	47
1	8	2	47	10	57
1	2	3	57	6	63
1	4	3	63	5	68
1	3	5	68	18	86
2	3	1	0	13	13
2	6	1	13	6	19
2	1	2	19	6	25
2	3	2	25	18	43
2	3	3	43	15	58
2	3	4	58	10	68
2	7	4	68	6	74
2	5	4	74	6	80
3	9	1	0	6	6
3	10	1	6	17	23
3	7	2	32	16	48
3	1	5	74	12	86
4	8	1	0	20	20
4	2	1	20	14	34
4	1	3	34	6	40
4	10	3	40	16	56
4	6	3	56	18	74
5	5	1	0	9	9
5	5	2	9	18	27
5	10	2	27	13	40
5	4	2	40	12	52
5	10	4	56	6	62
5	10	5	62	5	67
5	2	4	67	8	75
6	1	1	0	16	16
6	7	1	16	16	32
6	6	2	32	11	43
6	2	2	43	12	55
6	1	4	55	5	60
6	7	3	60	5	65
6	4	4	68	6	74
6	6	4	74	11	85
