makespan: 70.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	4	1	0	9	9
1	6	2	9	6	15
1	10	2	15	9	24
1	2	2	24	17	41
1	1	4	41	17	58
1	2	3	58	12	70
2	7	1	0	6	6
2	7	2	6	8	14
2	1	2	14	15	29
2	3	2	29	18	47
2	5	2	47	17	64
3	7	3	14	13	27
3	1	3	34	6	40
3	5	1	40	7	47
3	7	5	47	11	58
4	1	1	0	7	7
4	8	1	7	10	17
4	6	3	17	9	26
4	7	4	27	8	35
4	9	1	35	7	42
4	10	4	42	6	48
4	3	3	48	14	62
4	3	4	62	6	68
5	6	1	0	5	5
5	10	1	5	10	15
5	8	2	17	7	24
5	10	3	24	17	41
5	4	2	41	17	58
5	5	3	64	6	70
6	2	1	0	9	9
6	3	1	9	17	26
6	6	4	26	10	36
6	6	5	36	7	43
6	9	2	43	17	60
6	4	3	60	7	67
