makespan: 65.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	2	1	0	15	15
1	6	2	17	5	22
1	5	2	22	6	28
1	9	3	28	13	41
1	10	2	44	10	54
1	4	5	54	11	65
2	5	1	0	5	5
2	9	1	5	5	10
2	9	2	10	10	20
2	3	3	22	11	33
2	10	1	33	11	44
2	9	4	44	19	63
3	8	1	0	9	9
3	7	2	9	10	19
3	7	3	19	6	25
3	6	3	25	17	42
3	5	3	42	18	60
4	7	1	0	7	7
4	6	1	7	10	17
4	3	2	17	5	22
4	2	2	22	19	41
4	4	4	41	13	54
4	3	5	54	6	60
5	4	1	0	11	11
5	4	2	11	11	22
5	1	2	22	9	31
5	3	4	33	16	49
5	8	2	49	10	59
5	1	3	59	5	64
6	3	1	0	13	13
6	1	1	13	7	20
6	4	3	22	18	40
6	7	4	40	12	52
6	7	5	52	11	63
