makespan: 69.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	6	1	0	16	16
1	10	1	16	14	30
1	3	1	30	9	39
1	1	3	39	9	48
1	4	3	48	6	54
1	1	4	54	15	69
2	4	1	0	20	20
2	9	1	20	18	38
2	7	3	38	6	44
2	6	4	44	14	58
2	7	5	58	10	68
3	5	1	0	9	9
3	6	2	16	10	26
3	5	2	26	18	44
3	10	2	44	15	59
3	6	5	59	8	67
4	8	1	0	17	17
4	7	2	18	17	35
4	3	2	39	14	53
4	3	3	53	5	58
5	2	1	0	9	9
5	2	2	9	12	21
5	4	2	21	11	32
5	1	2	32	7	39
5	8	2	39	15	54
5	9	2	54	12	66
6	7	1	0	18	18
6	1	1	18	13	31
6	6	3	31	13	44
6	7	4	44	8	52
6	4	4	54	6	60
6	3	4	60	5	65
