makespan: 63.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	10	1	0	6	6
1	5	1	6	7	13
1	7	2	13	10	23
1	4	3	23	6	29
1	1	2	29	10	39
1	3	2	39	12	51
1	5	3	51	8	59
2	7	1	0	9	9
2	8	2	9	5	14
2	1	1	14	9	23
2	7	3	23	10	33
2	4	5	40	15	55
2	3	4	58	5	63
3	9	1	0	20	20
3	2	2	20	11	31
3	7	4	33	8	41
3	1	3	41	20	61
4	6	1	0	9	9
4	10	2	9	18	27
4	9	2	27	10	37
4	2	3	37	14	51
4	3	3	51	5	56
4	8	5	58	5	63
5	8	1	0	7	7
5	4	2	8	10	18
5	3	1	18	14	32
5	10	3	32	18	50
5	6	2	50	9	59
6	4	1	0	8	8
6	2	1	8	6	14
6	5	2	14	5	19
6	8	3	19	10	29
6	4	4	29	11	40
6	8	4	40	18	58
