makespan: 72.0 (最优解)
机器	工件	工序	开始时间	加工时间	结束时间
1	9	1	0	5	5
1	4	1	5	10	15
1	10	1	15	6	21
1	2	2	36	7	43
1	4	3	47	15	62
2	9	2	5	15	20
2	5	2	20	6	26
2	3	2	26	11	37
2	3	3	37	11	48
2	9	5	48	13	61
2	1	4	63	6	69
3	7	1	0	5	5
3	7	2	5	11	16
3	1	1	16	16	32
3	9	4	34	8	42
3	7	4	42	18	60
3	10	2	60	10	70
4	8	1	0	16	16
4	6	1	16	19	35
4	4	2	35	12	47
4	8	2	47	9	56
4	3	4	56	9	65
4	3	5	65	5	70
5	5	1	0	20	20
5	2	1	20	16	36
5	6	2	36	6	42
5	5	3	42	13	55
5	1	3	55	8	63
5	7	5	63	6	69
6	3	1	0	16	16
6	7	3	16	5	21
6	9	3	21	13	34
6	1	2	34	14	48
6	2	3	48	8	56
6	2	4	56	16	72
